stock,timestamp,open,high,low,close,volume
AMZN,2025-07-21 18:00:00,229.3000,229.4300,229.2300,229.3700,4752
AMZN,2025-07-21 17:45:00,229.3000,229.4000,229.2300,229.3500,372628
AMZN,2025-07-21 17:30:00,229.4000,229.4300,229.2300,229.3000,8298
AMZN,2025-07-21 17:15:00,229.3050,229.4300,215.2320,229.3550,6246
AMZN,2025-07-21 17:00:00,229.3900,229.4300,229.2600,229.2900,80225
AMZN,2025-07-21 16:45:00,229.3700,229.4500,229.3000,229.3800,29804
AMZN,2025-07-21 16:30:00,229.1600,229.4000,229.0500,229.3500,36265
AMZN,2025-07-21 16:15:00,229.3000,229.5300,229.0500,229.2500,157382
AMZN,2025-07-21 16:00:00,229.3100,229.3900,228.7418,229.2900,6813888
AMZN,2025-07-21 15:45:00,229.2800,229.5000,229.1000,229.3100,2957224
AMZN,2025-07-21 15:30:00,229.2474,229.6900,229.2200,229.2800,1375186
AMZN,2025-07-21 15:15:00,229.1400,229.2655,228.9906,229.2599,733910
AMZN,2025-07-21 15:00:00,229.1600,229.2366,228.7700,229.1450,838813
AMZN,2025-07-21 14:45:00,229.1300,229.1650,228.9310,229.1500,695513
AMZN,2025-07-21 14:30:00,229.3450,229.4000,229.1200,229.1352,516856
AMZN,2025-07-21 14:15:00,229.4399,229.5950,229.3500,229.3500,765473
AMZN,2025-07-21 14:00:00,229.2400,229.4800,229.1100,229.4450,582048
AMZN,2025-07-21 13:45:00,228.8700,229.4550,228.8554,229.2500,710005
AMZN,2025-07-21 13:30:00,228.9350,229.0400,228.6600,228.8700,566748
AMZN,2025-07-21 13:15:00,228.9400,229.0800,228.8301,228.9309,642982
AMZN,2025-07-21 13:00:00,228.6100,228.9850,228.6000,228.9400,907896
AMZN,2025-07-21 12:45:00,228.8250,229.0600,228.4000,228.6300,1120181
AMZN,2025-07-21 12:30:00,228.4600,228.8358,228.3600,228.8296,1064628
AMZN,2025-07-21 12:15:00,228.1200,228.4900,227.9900,228.4600,927362
AMZN,2025-07-21 12:00:00,228.0200,228.2000,227.9000,228.1060,887749
AMZN,2025-07-21 11:45:00,228.1400,228.4750,228.0200,228.0300,1282578
AMZN,2025-07-21 11:30:00,227.7500,228.2500,227.6900,228.1452,944937
AMZN,2025-07-21 11:15:00,227.9750,228.0700,227.5350,227.7500,964990
AMZN,2025-07-21 11:00:00,228.1000,228.2300,227.6904,227.9850,1470583
AMZN,2025-07-21 10:45:00,228.0650,228.1200,225.9501,228.1000,1803674
AMZN,2025-07-21 10:30:00,227.9400,228.1900,227.7400,228.0850,3040511
AMZN,2025-07-21 10:15:00,227.5000,227.9400,227.5000,227.9400,1463076
AMZN,2025-07-21 10:00:00,227.4100,227.6700,227.0000,227.5300,1853487
AMZN,2025-07-21 09:45:00,227.7104,227.9900,227.0200,227.4100,3252101
AMZN,2025-07-21 09:30:00,225.8350,227.7800,225.6500,227.7043,3973081
AMZN,2025-07-21 09:15:00,226.1891,226.7400,225.5000,225.8350,74318
AMZN,2025-07-21 09:00:00,226.3400,226.4000,226.1100,226.1900,23178
AMZN,2025-07-21 08:45:00,226.7805,226.7900,226.2000,226.3800,35206
AMZN,2025-07-21 08:30:00,226.8483,226.9000,226.7100,226.7490,19871
AMZN,2025-07-21 08:15:00,226.8100,226.8500,226.7500,226.7883,11507
AMZN,2025-07-21 08:00:00,226.8488,227.1588,226.1012,226.8100,70774
AMZN,2025-07-21 07:45:00,226.7500,226.8000,226.7200,226.7800,2756
AMZN,2025-07-21 07:30:00,226.8000,226.8900,226.7500,226.7700,4985
AMZN,2025-07-21 07:15:00,226.7200,226.8900,226.7200,226.8800,7477
AMZN,2025-07-21 07:00:00,226.9900,227.0000,226.7200,226.7200,10877
AMZN,2025-07-21 06:45:00,227.0500,227.1200,226.9600,226.9900,7211
AMZN,2025-07-21 06:30:00,227.0700,227.0900,226.9800,227.0900,2918
AMZN,2025-07-21 06:15:00,227.1200,227.1400,227.0500,227.0900,1581
AMZN,2025-07-21 06:00:00,227.0300,227.1400,227.0000,227.1100,1350
AMZN,2025-07-21 05:45:00,227.0900,227.1500,226.9900,227.0000,2971
AMZN,2025-07-21 05:30:00,226.9500,227.1000,226.9300,227.0600,4958
AMZN,2025-07-21 05:15:00,227.0000,227.0300,226.9100,226.9700,3123
AMZN,2025-07-21 05:00:00,227.0600,227.1000,226.9700,226.9900,4398
AMZN,2025-07-21 04:45:00,226.9500,227.0800,226.9100,227.0800,3410
AMZN,2025-07-21 04:30:00,227.0000,227.0600,226.9400,226.9700,3242
AMZN,2025-07-21 04:15:00,226.9200,227.0300,226.8000,227.0300,7804
AMZN,2025-07-21 04:00:00,226.3500,227.0900,225.9500,226.9200,24914
AMZN,2025-07-18 19:45:00,225.9600,226.0500,225.9500,225.9750,6595
AMZN,2025-07-18 19:30:00,225.9850,226.0000,225.9000,225.9600,2227
AMZN,2025-07-18 19:15:00,225.9800,226.0000,225.9100,226.0000,4713
AMZN,2025-07-18 19:00:00,225.9700,226.0000,225.9000,225.9700,1554
AMZN,2025-07-18 18:45:00,225.9750,226.0000,225.9000,225.9850,1705
AMZN,2025-07-18 18:30:00,225.9900,226.0100,225.9000,225.9500,1682
AMZN,2025-07-18 18:15:00,225.9800,226.0400,225.9600,225.9900,3611
AMZN,2025-07-18 18:00:00,226.0300,226.0400,225.9400,225.9800,4784
AMZN,2025-07-18 17:45:00,226.0500,226.1300,225.9000,225.9700,116077
AMZN,2025-07-18 17:30:00,225.9300,226.0800,213.1340,225.9650,6809
AMZN,2025-07-18 17:15:00,225.9100,227.4800,219.0155,225.9100,12009
AMZN,2025-07-18 17:00:00,225.9400,225.9800,225.8500,225.9100,3861
AMZN,2025-07-18 16:45:00,225.8750,226.1300,225.7500,225.9800,155369
AMZN,2025-07-18 16:30:00,226.0000,226.1300,225.7500,225.8800,258645
AMZN,2025-07-18 16:15:00,226.0111,226.1300,225.9400,226.0000,38812
AMZN,2025-07-18 16:00:00,226.1200,226.2400,225.9000,226.0107,9227090
AMZN,2025-07-18 15:45:00,225.9900,226.4000,225.9000,226.1200,3021949
AMZN,2025-07-18 15:30:00,225.9150,226.0000,225.7235,225.9900,855347
AMZN,2025-07-18 15:15:00,225.8200,226.0100,225.7850,225.9150,709432
AMZN,2025-07-18 15:00:00,225.8550,225.9900,225.7700,225.8200,606321
AMZN,2025-07-18 14:45:00,226.0000,226.0000,225.6950,225.8450,593428
AMZN,2025-07-18 14:30:00,225.9700,226.0200,225.8450,226.0000,1492276
AMZN,2025-07-18 14:15:00,225.7550,226.0000,225.6600,225.9700,900955
AMZN,2025-07-18 14:00:00,225.3300,226.0100,225.3100,225.7500,835007
AMZN,2025-07-18 13:45:00,225.5701,225.6901,225.3000,225.3100,729729
AMZN,2025-07-18 13:30:00,225.9201,225.9600,225.5400,225.5850,576738
AMZN,2025-07-18 13:15:00,225.8800,226.0100,225.8100,225.9250,760329
AMZN,2025-07-18 13:00:00,225.8000,226.0000,225.6200,225.8750,826646
AMZN,2025-07-18 12:45:00,225.3700,226.0000,225.3600,225.7991,1181314
AMZN,2025-07-18 12:30:00,224.8600,225.4150,224.8500,225.3610,703950
AMZN,2025-07-18 12:15:00,225.0800,225.2151,224.5650,224.8700,675221
AMZN,2025-07-18 12:00:00,225.1500,225.2500,224.9000,225.0800,554505
AMZN,2025-07-18 11:45:00,224.8850,225.2100,224.8800,225.1450,996012
AMZN,2025-07-18 11:30:00,224.5250,224.9799,224.5200,224.8899,769841
AMZN,2025-07-18 11:15:00,224.0900,224.6000,224.0200,224.5200,1289409
AMZN,2025-07-18 11:00:00,223.4769,224.3700,223.3400,224.1000,1342410
AMZN,2025-07-18 10:45:00,223.9000,223.9700,222.9800,223.4800,1270190
AMZN,2025-07-18 10:30:00,223.3600,224.0700,223.0500,223.9134,955787
AMZN,2025-07-18 10:15:00,223.8600,223.9100,223.1800,223.3700,1025168
AMZN,2025-07-18 10:00:00,224.3300,224.6500,223.6300,223.8593,1279915
AMZN,2025-07-18 09:45:00,224.8799,225.4900,223.9900,224.2950,1649293
AMZN,2025-07-18 09:30:00,225.1400,225.3300,224.5450,224.8628,4906347
AMZN,2025-07-18 09:15:00,224.5900,226.0500,223.3350,225.0600,412376
AMZN,2025-07-18 09:00:00,224.3400,224.6700,224.3100,224.6000,39239
AMZN,2025-07-18 08:45:00,224.2500,224.3800,224.2500,224.3400,9852
AMZN,2025-07-18 08:30:00,224.2000,224.3500,223.8800,224.3000,12616
AMZN,2025-07-18 08:15:00,224.2500,224.3500,224.1000,224.2350,13234
AMZN,2025-07-18 08:00:00,224.3988,224.5000,223.7700,224.3000,88290
AMZN,2025-07-18 07:45:00,224.1200,224.3100,224.0600,224.2000,8732
AMZN,2025-07-18 07:30:00,224.1900,224.2100,224.1100,224.1200,2535
AMZN,2025-07-18 07:15:00,224.1700,224.2300,224.1100,224.1700,2434
AMZN,2025-07-18 07:00:00,224.2500,224.4000,224.1500,224.1900,6420
AMZN,2025-07-18 06:45:00,224.1400,224.4000,224.1100,224.2400,5908
AMZN,2025-07-18 06:30:00,224.1200,224.1800,224.0000,224.1600,2165
AMZN,2025-07-18 06:15:00,224.3200,224.3200,224.0300,224.0400,3268
AMZN,2025-07-18 06:00:00,224.3000,224.3600,224.2600,224.3100,889
AMZN,2025-07-18 05:45:00,224.2600,224.4200,224.2500,224.3700,8166
AMZN,2025-07-18 05:30:00,224.2500,224.3400,224.2300,224.2400,1576
AMZN,2025-07-18 05:15:00,224.3100,224.3100,224.2100,224.2300,486
AMZN,2025-07-18 05:00:00,224.0900,224.2700,224.0900,224.2700,1342
AMZN,2025-07-18 04:45:00,224.0900,224.1700,224.0500,224.1000,1994
AMZN,2025-07-18 04:30:00,224.1000,224.1000,224.0000,224.0500,3187
AMZN,2025-07-18 04:15:00,224.0600,224.1000,223.7600,224.0900,7989
AMZN,2025-07-18 04:00:00,224.4400,224.4400,223.9000,223.9400,13907
AMZN,2025-07-17 19:45:00,224.2550,224.5000,224.1600,224.3300,9218
AMZN,2025-07-17 19:30:00,224.3200,224.3500,224.1600,224.2500,5717
AMZN,2025-07-17 19:15:00,224.3200,224.5000,224.2100,224.3200,6768
AMZN,2025-07-17 19:00:00,224.1200,224.3500,224.0301,224.3200,8550
AMZN,2025-07-17 18:45:00,224.0799,224.1500,224.0000,224.1000,4730
AMZN,2025-07-17 18:30:00,224.0400,224.0800,224.0000,224.0100,14339
AMZN,2025-07-17 18:15:00,224.0350,224.1000,224.0000,224.0400,2379
AMZN,2025-07-17 18:00:00,224.0250,224.0700,224.0000,224.0700,3443
AMZN,2025-07-17 17:45:00,224.1200,224.1200,223.8800,224.0000,30899
AMZN,2025-07-17 17:30:00,224.0500,224.1200,224.0000,224.0700,9270
AMZN,2025-07-17 17:15:00,224.1200,224.1400,223.9700,224.0500,7282
